ndb_id,name,kcal,protein,fat,carbohydrate
85,"milk,dry,nonfat,inst,w/ added vit a & vitamin d",3.58,0.351,0.0072,0.5219
86,"milk,dry,nonfat,ca red",3.54,0.355,0.002,0.518
87,"milk,buttermilk,dried",3.87,0.343,0.0578,0.49
88,"milk,cnd,cond,swtnd",3.21,0.0791,0.087,0.544
89,"milk,cnd,evap,w/ added vitamin d & wo/ added vit a",1.34,0.0681,0.0756,0.1004
90,"milk,cnd,evap,nonfat,w/ added vit a & vitamin d",0.78,0.0755,0.002,0.1135
91,"milk,choc,fluid,comm,whl,w/ added vit a & vitamin d",0.83,0.0317,0.0339,0.1034
92,"milk,choc,fluid,comm,red fat",0.76,0.0299,0.019,0.1213
93,"milk,choc,fluid,comm,lowfat,w/ added vit a & vitamin d",0.71,0.0324,0.01,0.126
94,"milk,choc bev,hot cocoa,homemade",0.77,0.0352,0.0234,0.1074
95,"milk,goat,fluid,w/ added vitamin d",0.69,0.0356,0.0414,0.0445
96,"milk,human,mature,fluid",0.7,0.0103,0.0438,0.0689
97,"milk,indian buffalo,fluid",0.97,0.0375,0.0689,0.0518
98,"milk,sheep,fluid",1.08,0.0598,0.07,0.0536
99,"milk shakes,thick choc",1.19,0.0305,0.027,0.2115
100,"milk shakes,thick vanilla",1.12,0.0386,0.0303,0.1775
101,"whey,acid,fluid",0.24,0.0076,0.0009,0.0512
102,"whey,acid,dried",3.39,0.1173,0.0054,0.7345
103,"whey,sweet,fluid",0.27,0.0085,0.0036,0.0514
104,"whey,sweet,dried",3.53,0.1293,0.0107,0.7446
105,"yogurt,pln,whl milk,8 grams prot per 8 oz",0.61,0.0347,0.0325,0.0466
106,"yogurt,pln,lofat,12 grams prot per 8 oz",0.63,0.0525,0.0155,0.0704
107,"yogurt,pln,skim milk,13 grams prot per 8 oz",0.56,0.0573,0.0018,0.0768
108,"yogurt,vanilla,lofat,11 grams prot per 8 oz",0.85,0.0493,0.0125,0.138
109,"yogurt,fruit,lofat,9 grams prot per 8 oz",0.99,0.0398,0.0115,0.1864
110,"yogurt,fruit,lofat,10 grams prot per 8 oz",1.02,0.0437,0.0108,0.1905
111,"yogurt,fruit,lofat,11 grams prot per 8 oz",1.05,0.0486,0.0141,0.186
112,"egg,whl,raw,frsh",1.43,0.1256,0.0951,0.0072
113,"egg,white,raw,fresh",0.52,0.109,0.0017,0.0073
114,"egg,yolk,raw,frsh",3.22,0.1586,0.2654,0.0359
115,"egg,yolk,raw,frz,past",2.99,0.1533,0.2524,0.013
116,"egg,yolk,raw,frz,sugared,past",3.07,0.1387,0.2282,0.1095
117,"egg,whl,ckd,fried",1.96,0.1361,0.1484,0.0083
118,"egg,whl,ckd,hard-boiled",1.55,0.1258,0.1061,0.0112
119,"egg,whole,cooked,omelet",1.54,0.1057,0.1166,0.0064
120,"egg,whl,ckd,poached",1.43,0.1251,0.0947,0.0071
121,"egg,whl,ckd,scrmbld",1.49,0.0999,0.1098,0.0161
122,"egg,whole,dried",6.05,0.4837,0.4304,0.0153
123,"egg,whl,dried,stabilized,glucose red",6.15,0.4817,0.4395,0.0238
124,"egg,white,dried,flakes,stabilized,glucose red",3.51,0.7692,0.0004,0.0417
125,"egg,white,dried,pdr,stabilized,glucose red",3.76,0.824,0.0004,0.0447
126,"egg,yolk,dried",6.79,0.3373,0.5813,0.021
127,"egg,duck,whole,fresh,raw",1.85,0.1281,0.1377,0.0145
128,"egg,goose,whole,fresh,raw",1.85,0.1387,0.1327,0.0135
129,"egg,quail,whole,fresh,raw",1.58,0.1305,0.1109,0.0041
130,"egg,turkey,whl,frsh,raw",1.71,0.1368,0.1188,0.0115
131,"egg substitute,powder",4.44,0.555,0.13,0.218
132,"butter,without salt",7.17,0.0085,0.8111,0.0006
133,"cheese,parmesan,shredded",4.15,0.3786,0.2734,0.0341
134,"milk,nonfat,fluid,wo/ added vit a & vit d (fat free or skim)",0.34,0.0337,0.0008,0.0496
135,"milk,red fat,fluid,2% milkfat,w/ nonfat milk sol,wo/ vit a",0.56,0.0395,0.0198,0.0549
136,"milk,cnd,evap,w/ vit a",1.34,0.0681,0.0756,0.1004
137,"milk,dry,nonfat,reg,w/ added vit a & vitamin d",3.62,0.3616,0.0077,0.5198
138,"milk,dry,nonfat,inst,wo/ added vit a & vitamin d",3.58,0.351,0.0072,0.5219
139,"cheese,goat,hard type",4.52,0.3052,0.3559,0.0217
140,"cheese,goat,semisoft type",3.64,0.2158,0.2984,0.0012
141,"cheese,goat,soft type",2.64,0.1852,0.2108,0
142,"egg,yolk,raw,frz,salted,past",2.75,0.1407,0.2293,0.0177
143,"cheese sub,mozzarella",2.48,0.1147,0.1222,0.2367
144,"cheese sau,prep from recipe",1.97,0.1033,0.1492,0.0548
145,"cheese,mexican,queso anejo",3.73,0.2144,0.2998,0.0463
146,"cheese,mexican,queso asadero",3.56,0.226,0.2826,0.0287
147,"cheese,mexican,queso chihuahua",3.74,0.2156,0.2968,0.0556
148,"cheese,lofat,cheddar or colby",1.73,0.2435,0.07,0.0191
149,"cheese,low-sodium,cheddar or colby",3.98,0.2435,0.3262,0.0191
150,"egg,whl,raw,frz,past",1.54,0.1203,0.107,0.0127
151,"egg,white,raw,frz,past",0.46,0.093,0.0004,0.0126
152,"egg,white,dried",3.82,0.811,0,0.078
153,"milk,red fat,fluid,2% milkfat,wo/ added vit a & vit d",0.5,0.033,0.0198,0.048
154,"milk,fluid,1% fat,wo/ added vit a & vit d",0.42,0.0337,0.0097,0.0499
155,"sour cream,reduced fat",1.81,0.07,0.141,0.07
156,"sour cream,light",1.36,0.035,0.106,0.071
157,"sour cream,fat free",0.74,0.031,0,0.156
158,"usda commodity,chs,cheddar,red fat",2.82,0.272,0.183,0.02
159,"yogurt,van or lem flav,nonfat milk,swtnd w/low-calorie swtnr",0.43,0.0386,0.0018,0.075
160,"parmesan chs topping,fat free",3.7,0.4,0.05,0.4
161,"cheese,cream,fat free",1.05,0.1569,0.01,0.0766
162,"yogurt,choc,nonfat milk",1.12,0.0353,0,0.2353
163,kraft cheez whiz past process chs sau,2.76,0.12,0.21,0.092
164,kraft cheez whiz lt past process chs product,2.15,0.163,0.095,0.162
165,kraft free singles american nonfat past process chs product,1.48,0.227,0.01,0.117
166,kraft velveeta past process chs sprd,3.03,0.163,0.22,0.098
167,kraft velveeta lt red fat past process chs product,2.22,0.196,0.106,0.118
168,kraft breakstone's red fat sour crm,1.52,0.045,0.12,0.065
169,kraft breakstone's free fat free sour crm,0.91,0.047,0.013,0.151
170,"cream,half & half,fat free",0.59,0.026,0.014,0.09
171,reddi wip fat free whipped topping,1.49,0.03,0.05,0.25
172,"milk,choc,fluid,comm,red fat,w/ added ca",0.78,0.0299,0.019,0.1213
173,"yogurt,fruit,lofat,w/lo cal sweetener",1.05,0.0486,0.0141,0.186
174,"cheese,parmesan,dry grated,red fat",2.65,0.2,0.2,0.0137
175,"cream sub,flav,liq",2.51,0.0069,0.135,0.3507
176,"cream sub,flav,pdr",4.82,0.0068,0.2147,0.7542
177,"cheese,provolone,red fat",2.74,0.247,0.176,0.035
178,"cheese,mexican,blend,red fat",2.82,0.2469,0.194,0.0341
179,"egg mix,usda cmdty",5.55,0.356,0.345,0.2397
180,"milk,whl,3.25% milkfat,wo/ added vit a & vitamin d",0.61,0.0315,0.0327,0.0478
181,"milk,dry,whl,wo/ added vitamin d",4.96,0.2632,0.2671,0.3842
182,"milk,cnd,evap,wo/ added vit a & vitamin d",1.35,0.0681,0.0756,0.1004
183,"cheese product,past process,american,red fat,fort w/ vit d",2.4,0.176,0.141,0.106
184,"yogurt,fruit,lofat,9 grams prot per 8 oz,fort w/ vitamin d",0.99,0.0398,0.0115,0.1864
185,"yogurt,fruit,lofat,10 grams prot per 8 oz,fort w/ vitamin d",1.02,0.0437,0.0108,0.1905
186,"yogurt,fruit var,nonfat,fort w/ vitamin d",0.95,0.044,0.002,0.19
187,"yogurt,fruit,lowfat,w/ lo cal swtnr,fort w/ vitamin d",1.05,0.0486,0.0141,0.186
